AuthID,Author
20711,"Ahmed, S."
6100,"Ahn, Jae Young"
24184,"Ahn, Mija"
6317,"Ahn, Seong Hoon"
9667,"Ahn, Seung-Joon"
7914,"Ahn, Steven"
11441,"Ahrens, Misha B."
2853,"Ahrens, Thomas J."
21342,"Ahrens, Wolfgang"
1901,"Ahronson, Oded"
17049,"Ahsan, M."
16549,"Ahuka-Mundeke, Steve"
10716,"Aidelsburger, Monika"
8341,"Aiden, Aviva Presser"
8350,"Aiden, Erez Lieberman"
17050,"Aielli, G."
21144,"Aiello, Allison E."
1769,"Aiken, Allison C."
14161,"Aiken, Erik J."
14742,"Aiken, R."
14615,"Aikin, R."
10958,"Aird, K. A."
1158,"Airoldi, Edoardo"
12638,"Airoldi, Edoardo M."
6610,"Airoldi, Edoardo Maria"
8467,"Aizenberg, Joanna"
26125,"Aizenberg, Michael"
8160,"Aizu, Tomoyuki"
4259,"Ajay, Tandon"
22613,"Ajtai, Miklós"
2497,"Akalis, Scott"
22433,"Akam, Michael"
4382,"Akay, Metin"
8997,"Akbulut, Ozge"
8166,"Akcakaya, Mehmet"
17051,"Akdogan, T."
23819,"Akeju, Oluwaseun"
11171,"Akella, Lakshmi B."
24310,"Aken, Bronwen"
10365,"Akerboom, J."
25125,"Akerstedt, H."
21933,"Akey, Austin"
20781,"Akey, Austin J."
13189,"Akey, Joshua M."
7662,"Akhmerov, A."
26518,"Akhmetova, Laila"
9527,"Akhuemokhan, Odigie C."
15997,"Akie, Thomas E."
17053,"Akimoto, G."
17054,"Akimov, A. V."
7853,"Akimov, Alexey"
17055,"Akiyama, A."
14745,"Akiyama, Kazunori"
7477,"Akkerman, Hylke B."
21339,"Akmatov, Manas K."
9764,"Akopian, Veronika"
9530,"Akpede, George O."
25654,"Aktas, A."
11279,"Aktas, Bertal H."
16913,"Akutsu, Hidenori"
23225,"Akyeampong, Emmanuel K."
20802,"Akçakaya, Mehmet"
4945,"Al Quntar, Salam"
13576,"Al-Awami, Ali"
2431,"Al-Bassam, Jawdat"
26619,"Al-Chalabi, Ammar"
23158,"Al-Moussawi, Mahmoud"
13819,"Al-Saadi, J."
11154,"Al-Saadi, Jassim"
26615,"Al-Sarraj, Safa"
14902,"Al-Sayah, Mohammad Hussein"
21178,"Al-Shahrour, Fatima"
13976,"Al-Siddiqi, Heba"
9858,"Al-Ubaydli, Omar"
17057,"Alam, M. A."
17056,"Alam, M. S."
14922,"Alamdari, Kourosh"
8488,"Alami, Rachid"
5749,"Alani, Eric"
1681,"Alario, F.-Xavier"
2065,"Alauddin, Mian M."
24569,"Albanes, Demetrius"
9593,"Albarca-Aguilera, Monica"
1967,"Albarede, Francis"
99,"Albeanu, Dinu F."
12657,"Albeanu, Dinu Florin"
3861,"Alben, Silas"
8383,"Alberdi, A."
16267,"Alberdi-Rodriguez, Joseba"
25126,"Alberghi, G. L."
1286,"Alberi, Kirstin"
15576,"Alberich-Jorda, Meritxell"
26892,"Albers, Patrick K."
17058,"Albert, J."
3849,"Albert, Marilyn Silagy"
12544,"Alberta, John"
21870,"Albertine, Jennifer M."
7267,"Albertorio, Fernando"
15009,"Albertson, Craig"
17059,"Albrand, S."
21539,"Albrecht, Eva"
9131,"Albrecht, Konstanze"
1906,"Albright, Carol Bonomo"
617,"Albright, Daniel"
15496,"Albright, Julie"
22815,"Albus, Margot"
11423,"Alcaide, Miguel"
5413,"Alcalde, Victor"
15429,"Alcantara, Luis"
21855,"Alcazar-Roman, Abel"
14381,"Alcedo, Joy"
13563,"Alchanatis, Victor"
16090,"Alcock, John"
25127,"Alconada Verzini, M. J."
15621,"Alda, Martin"
25821,"Aldana, Maximino"
2761,"Alderson, Arthur S."
7196,"Aldinger, Kimberly A."
15558,"Aldovini, Anna"
2830,"Aldrich, Howard E."
26980,"Aldrich, Leslie N."
26712,"Aldrich, Leslie N"
1236,"Alegria, Margarita"
11463,"Alekhin, S."
17060,"Aleksa, M."
17061,"Aleksandrov, I. N."
26810,"Aleksic, Branko"
13533,"Aleman, André"
25655,"Aleppo, M."
1585,"Alerhand, Oscar L."
502,"Alesina, Alberto"
13898,"Alesina, Alberto Francesco"
17062,"Alessandria, F."
23768,"Alessi, Dario R."
17063,"Alexa, C."
15239,"Alexander, Anissa"
4239,"Alexander, B."
4150,"Alexander, Becky"
1978,"Alexander, Conel M. O'D."
3228,"Alexander, Diane"
17064,"Alexander, G."
22816,"Alexander, Madeline"
27204,"Alexander, Warren S."
17065,"Alexandre, G."
12043,"Alexandrov, Theodore"
6796,"Alexe, Gabriela"
13934,"Alexoff, David"
384,"Alexopoulos, T."
21401,"Aleyasin, Hossein"
21110,"Alfano, C."
26049,"Alfaro-Núñez, Alonzo"
11310,"Alfredsson, Lars"
14746,"Algaba, Juan C."
2848,"Algan, Yann"
21457,"Algar, A. C."
8908,"Algar, Adam C."
17066,"Alhroob, M."
15622,"Alhusaini, Saud"
26747,"Ali, Levi D"
7781,"Ali, Nicole"
10321,"Ali, Omar Abdel-Rahman"
13256,"Ali, Said Mohammed"
13114,"Aliabadi, Hamed"
7661,"Alicea, Jason"
17067,"Aliev, M."
9526,"Alikah, Sylvester O."
8915,"Alim, Karen"
17068,"Alimonti, G."
25128,"Alio, L."
17069,"Alison, J."
17070,"Aliyev, M."
21540,"Alizadeh, Behrooz Z."
