RecordIdentifier,Author,authID
oai:dash.harvard.edu:1/13596731,"Etienne, F.",17758
oai:dash.harvard.edu:1/13596731,"Etienvre, A. I.",17759
oai:dash.harvard.edu:1/11077568,"Etoh, Hiroko",5079
oai:dash.harvard.edu:1/4553008,"Etro, Federico",2623
oai:dash.harvard.edu:1/13596731,"Etzion, E.",17760
oai:dash.harvard.edu:1/13596731,"Evangelakou, D.",17761
oai:dash.harvard.edu:1/13460251,"Evans II, Neal J.",21092
oai:dash.harvard.edu:1/4515013,"Evans, A.",6379
oai:dash.harvard.edu:1/4211042,"Evans, A. G.",4607
oai:dash.harvard.edu:1/2797290,"Evans, Anthony G.",1483
oai:dash.harvard.edu:1/4215081,"Evans, Anthony G.",1483
oai:dash.harvard.edu:1/4895575,"Evans, Anthony G.",1483
oai:dash.harvard.edu:1/11708545,"Evans, Conor L.",11297
oai:dash.harvard.edu:1/12152820,"Evans, Conor L.",11297
oai:dash.harvard.edu:1/13041038,"Evans, D. A.",21047
oai:dash.harvard.edu:1/13383543,"Evans, Daniel S.",21550
oai:dash.harvard.edu:1/14065318,"Evans, Daniel S.",21550
oai:dash.harvard.edu:1/13383543,"Evans, David M.",21619
oai:dash.harvard.edu:1/12497390,"Evans, Eileen Louise",15950
oai:dash.harvard.edu:1/12497391,"Evans, Eileen Louise",15950
oai:dash.harvard.edu:1/4459478,"Evans, Gary W.",5487
oai:dash.harvard.edu:1/13596731,"Evans, H.",17762
oai:dash.harvard.edu:1/11375397,"Evans, Heidi Jacqueline",10050
oai:dash.harvard.edu:1/12031931,"Evans, Heidi Jacqueline",10050
oai:dash.harvard.edu:1/2350219,"Evans, J. J.",237
oai:dash.harvard.edu:1/2350577,"Evans, J. J.",237
oai:dash.harvard.edu:1/2350216,"Evans, J. J.",237
oai:dash.harvard.edu:1/2350494,"Evans, J. J.",237
oai:dash.harvard.edu:1/11870348,"Evans, J. J.",237
oai:dash.harvard.edu:1/11870336,"Evans, J. J.",237
oai:dash.harvard.edu:1/11870343,"Evans, J. J.",237
oai:dash.harvard.edu:1/12712839,"Evans, Jay",16127
oai:dash.harvard.edu:1/14117813,"Evans, M",23452
oai:dash.harvard.edu:1/14121834,"Evans, M",23452
oai:dash.harvard.edu:1/14121854,"Evans, M",23452
oai:dash.harvard.edu:1/14121820,"Evans, M",23452
oai:dash.harvard.edu:1/3988779,"Evans, M. J.",4320
oai:dash.harvard.edu:1/11913975,"Evans, M. J.",4320
oai:dash.harvard.edu:1/11916599,"Evans, M. J.",4320
oai:dash.harvard.edu:1/14121831,"Evans, M. J.",4320
oai:dash.harvard.edu:1/14121837,"Evans, M. J.",4320
oai:dash.harvard.edu:1/3988782,"Evans, Mathew",4327
oai:dash.harvard.edu:1/14121759,"Evans, Mathew",4327
oai:dash.harvard.edu:1/14121766,"Evans, Matthew",23448
oai:dash.harvard.edu:1/14121856,"Evans, Matthew",23448
oai:dash.harvard.edu:1/14121857,"Evans, Matthew",23448
oai:dash.harvard.edu:1/2796981,"Evans, Paul G.",1276
oai:dash.harvard.edu:1/13581121,"Evans, Peter D.",22367
oai:dash.harvard.edu:1/4458173,"Evans, Thomas C., Jr.",5378
oai:dash.harvard.edu:1/12724030,"Evans, Todd",16639
oai:dash.harvard.edu:1/13481315,"Even, Arren Bar",21929
oai:dash.harvard.edu:1/4341697,"Everett, Mark E.",5163
oai:dash.harvard.edu:1/4341698,"Everett, Mark E.",5163
oai:dash.harvard.edu:1/4341702,"Everett, Mark E.",5163
oai:dash.harvard.edu:1/3196299,"Evins, Anne",2650
oai:dash.harvard.edu:1/3708465,"Evins, Anne",2650
oai:dash.harvard.edu:1/4215080,"Evins, Anne Eden",4669
